match_id,team,passes,shots,xg,pressures,fouls_committed,ball_recoveries,duels,dribbles,interceptions,clearances,tackles,possession_events,red_cards,yellow_cards,home_away,match_date,competition,season,home_team,away_team,home_score,away_score,result,starting_formation,tactical_shifts,last_formation,team_result
3857277,Croatia,686,5,0.849860505,107,12,43,37,12,12,9,0,2221,0,0,away,2022-11-23,International - FIFA World Cup,2022,Morocco,Croatia,0,0,draw,433,2,4231.0,draw
3857277,Morocco,384,8,0.362638976,168,18,55,36,14,15,22,0,1498,0,1,home,2022-11-23,International - FIFA World Cup,2022,Morocco,Croatia,0,0,draw,4141,1,4141.0,draw
3857278,Iran,515,4,0.920789942,150,21,45,41,12,11,11,0,1741,0,3,home,2022-11-29,International - FIFA World Cup,2022,Iran,United States,0,1,away_win,4411,7,442.0,loss
3857278,United States,517,12,1.169654601,140,13,60,37,23,8,31,0,1855,0,1,away,2022-11-29,International - FIFA World Cup,2022,Iran,United States,0,1,away_win,433,2,343.0,win
3857279,Australia,475,4,0.32329253999999996,105,14,46,29,9,11,21,0,1605,0,3,away,2022-11-22,International - FIFA World Cup,2022,France,Australia,4,1,home_win,4141,2,4141.0,loss
3857279,France,763,23,3.170495788,83,4,44,28,19,11,11,0,2358,0,0,home,2022-11-22,International - FIFA World Cup,2022,France,Australia,4,1,home_win,4231,0,,win
3857280,Brazil,593,21,2.378218864,132,15,57,34,13,4,13,0,2025,0,2,away,2022-12-02,International - FIFA World Cup,2022,Cameroon,Brazil,1,0,home_win,4231,0,,loss
3857280,Cameroon,333,7,0.38336075199999997,140,17,40,29,12,11,25,0,1275,1,4,home,2022-12-02,International - FIFA World Cup,2022,Cameroon,Brazil,1,0,home_win,442,1,442.0,win
3857281,Canada,529,8,0.286795181,133,6,57,22,33,10,29,0,1899,0,2,away,2022-11-27,International - FIFA World Cup,2022,Croatia,Canada,4,1,home_win,442,3,3412.0,loss
3857281,Croatia,507,13,2.6102110830000003,166,15,40,45,13,17,18,0,1826,0,2,home,2022-11-27,International - FIFA World Cup,2022,Croatia,Canada,4,1,home_win,433,1,433.0,win
3857282,United States,610,6,0.6024987946,137,17,45,32,6,13,24,0,2096,0,4,home,2022-11-21,International - FIFA World Cup,2022,United States,Wales,1,1,draw,433,0,,draw
3857282,Wales,443,7,1.395336012,128,10,53,40,12,10,29,0,1591,0,2,away,2022-11-21,International - FIFA World Cup,2022,United States,Wales,1,1,draw,352,1,442.0,draw
3857283,Belgium,703,10,0.642612082,107,10,41,33,14,2,6,0,2260,0,1,home,2022-11-27,International - FIFA World Cup,2022,Belgium,Morocco,0,2,away_win,4231,2,4231.0,loss
3857283,Morocco,347,10,0.9911085500000001,161,16,35,35,17,8,22,0,1361,0,1,away,2022-11-27,International - FIFA World Cup,2022,Belgium,Morocco,0,2,away_win,433,1,343.0,win
3857284,Germany,826,26,2.768019421,86,7,56,29,14,3,8,0,2546,0,0,home,2022-11-23,International - FIFA World Cup,2022,Germany,Japan,1,2,away_win,4231,2,442.0,loss
3857284,Japan,294,12,1.249259581,184,15,28,48,10,8,41,0,1171,0,0,away,2022-11-23,International - FIFA World Cup,2022,Germany,Japan,1,2,away_win,4231,2,343.0,win
3857285,Netherlands,491,10,1.1238838,104,16,31,29,12,11,16,0,1599,0,1,away,2022-11-21,International - FIFA World Cup,2022,Senegal,Netherlands,0,2,away_win,3412,3,3421.0,win
3857285,Senegal,430,15,0.6914927065,112,13,49,35,6,9,34,0,1534,0,2,home,2022-11-21,International - FIFA World Cup,2022,Senegal,Netherlands,0,2,away_win,4231,1,433.0,loss
3857286,Ecuador,519,6,1.1540112984,134,14,34,33,14,8,4,0,1717,0,2,away,2022-11-20,International - FIFA World Cup,2022,Qatar,Ecuador,0,2,away_win,442,1,4231.0,win
3857286,Qatar,468,5,0.30418895050000005,99,17,33,24,15,5,21,0,1582,0,4,home,2022-11-20,International - FIFA World Cup,2022,Qatar,Ecuador,0,2,away_win,352,1,352.0,loss
3857287,South Korea,463,7,0.492992523,103,11,42,47,13,13,20,0,1578,0,1,away,2022-11-24,International - FIFA World Cup,2022,Uruguay,South Korea,0,0,draw,4231,1,4231.0,draw
